name,draft_year,draft_pick,y1_pts,y1_reb,y1_ast,y1_fg_pct,y1_fg3_pct,y1_ft_pct,y1_min,y1_tov,y2_pts,y2_reb,y2_ast,y2_fg_pct,y2_fg3_pct,y2_ft_pct,y2_min,y2_tov,y5_pts,y5_reb,y5_ast,y5_fg_pct,y5_fg3_pct,y5_ft_pct,y5_min,y5_tov
Donovan Mitchell,2017,13,20.5,3.7,3.7,0.437,0.34,0.805,33.4,2.7,23.8,4.1,4.2,0.432,0.362,0.806,33.7,2.8,25.9,4.2,5.3,0.448,0.355,0.853,33.8,3.0
Donte DiVincenzo,2018,17,4.9,2.4,1.1,0.403,0.265,0.75,15.2,0.7,9.2,4.8,2.3,0.455,0.336,0.733,23.0,1.4,9.4,4.5,3.5,0.435,0.397,0.817,26.3,1.6
Doug McDermott,2014,11,3.0,1.2,0.2,0.402,0.317,0.667,8.9,0.5,9.4,2.4,0.7,0.452,0.425,0.857,23.0,0.7,7.3,1.4,0.9,0.491,0.408,0.835,17.4,0.5
Dragan Bender,2016,4,3.4,2.4,0.5,0.354,0.277,0.364,13.3,0.7,6.5,4.4,1.6,0.386,0.366,0.765,25.2,1.4,,,,,,,,
Dwayne Bacon,2017,40,3.3,2.3,0.7,0.375,0.256,0.8,13.5,0.4,7.3,2.1,1.1,0.475,0.437,0.739,17.7,0.4,,,,,,,,
Dwight Powell,2014,45,1.8,0.2,0.0,0.8,0.0,0.5,1.8,0.4,5.8,4.0,0.6,0.493,0.125,0.739,14.4,0.6,10.6,5.3,1.5,0.597,0.307,0.772,21.6,0.9
Dylan Windler,2019,26,,,,,,,,,5.2,3.5,1.1,0.438,0.338,0.778,16.5,1.0,1.0,0.3,0.3,0.5,0.5,0.0,2.3,0.0
Dyson Daniels,2022,8,3.8,3.2,2.3,0.418,0.314,0.65,17.7,1.0,5.8,3.9,2.7,0.447,0.311,0.642,22.3,1.0,,,,,,,,
Dzanan Musa,2018,29,2.1,0.6,0.2,0.409,0.1,0.0,4.3,0.4,4.8,2.2,1.1,0.372,0.244,0.75,12.2,0.9,,,,,,,,
Edmond Sumner,2017,52,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.9,1.0,0.4,0.344,0.259,0.625,9.1,0.4,,,,,,,,
Elfrid Payton,2014,10,8.9,4.3,6.5,0.425,0.262,0.551,30.4,2.5,10.7,3.6,6.4,0.436,0.326,0.589,29.4,2.4,10.6,5.2,7.6,0.434,0.314,0.743,29.8,2.7
Elie Okobo,2018,31,5.7,1.8,2.4,0.393,0.295,0.787,18.1,1.3,4.0,1.6,2.1,0.398,0.352,0.704,13.1,0.7,,,,,,,,
Elijah Hughes,2020,39,1.7,0.5,0.3,0.333,0.348,0.75,3.6,0.3,3.1,1.2,0.4,0.417,0.357,1.0,8.0,0.5,,,,,,,,
Emmanuel Mudiay,2015,7,12.8,3.4,5.5,0.364,0.319,0.67,30.4,3.2,11.0,3.2,3.9,0.377,0.315,0.784,25.6,2.2,7.3,2.3,2.1,0.462,0.345,0.759,15.7,1.4
Eric Paschall,2019,41,14.0,4.6,2.1,0.497,0.287,0.774,27.6,1.6,9.5,3.2,1.3,0.497,0.333,0.713,17.4,1.1,,,,,,,,
Evan Mobley,2021,3,15.0,8.3,2.5,0.508,0.25,0.663,33.8,1.9,16.2,9.0,2.8,0.554,0.216,0.674,34.4,1.8,17.9,8.8,4.0,0.512,0.304,0.635,33.4,2.1
Frank Jackson,2017,31,,,,,,,,,8.1,2.2,1.1,0.434,0.314,0.74,19.2,0.8,10.6,1.6,1.0,0.402,0.308,0.827,22.0,0.7
Frank Kaminsky,2015,9,7.5,4.1,1.2,0.41,0.337,0.73,21.1,0.7,11.7,4.5,2.2,0.399,0.328,0.756,26.1,1.0,9.7,4.5,1.9,0.45,0.331,0.678,19.9,0.9
Frank Mason III,2017,34,7.9,2.5,2.8,0.379,0.36,0.817,18.9,1.3,5.1,1.1,2.2,0.42,0.219,0.684,11.4,0.9,,,,,,,,
Frank Ntilikina,2017,8,5.9,2.3,3.2,0.364,0.318,0.721,21.9,1.7,5.7,2.0,2.8,0.337,0.287,0.767,21.0,1.3,4.1,1.4,1.2,0.399,0.342,0.96,11.8,0.5
Franz Wagner,2021,8,15.2,4.5,2.9,0.468,0.354,0.863,30.7,1.5,18.6,4.1,3.5,0.485,0.361,0.842,32.6,2.1,21.3,5.8,3.6,0.479,0.365,0.828,31.8,1.7
Furkan Korkmaz,2016,26,,,,,,,,,1.6,0.8,0.3,0.286,0.294,0.5,5.7,0.1,9.1,2.1,1.5,0.401,0.375,0.732,19.3,0.8
Gary Harris,2014,19,3.4,1.2,0.5,0.304,0.204,0.745,13.1,0.7,12.3,2.9,1.9,0.469,0.354,0.82,32.1,1.3,12.9,2.8,2.2,0.424,0.339,0.799,28.8,1.2
Gary Trent Jr.,2018,37,2.7,0.7,0.3,0.32,0.238,0.429,7.4,0.3,8.9,1.6,1.0,0.444,0.418,0.822,21.8,0.3,17.4,2.6,1.6,0.433,0.369,0.839,32.1,0.8
Georges Niang,2016,50,0.9,0.7,0.2,0.25,0.083,1.0,4.0,0.2,1.0,1.0,0.3,0.364,0.0,0.5,3.6,0.3,6.9,2.4,0.8,0.437,0.425,0.957,16.0,0.7
Georgios Papagiannis,2016,13,5.6,3.9,0.9,0.549,0.0,0.857,16.1,1.1,2.1,2.3,0.6,0.415,0.0,0.0,7.4,0.5,,,,,,,,
Giannis Antetokounmpo,2013,15,6.8,4.4,1.9,0.414,0.347,0.683,24.6,1.6,12.7,6.7,2.6,0.491,0.159,0.741,31.4,2.1,26.9,10.0,4.8,0.529,0.307,0.76,36.7,3.0
Glen Rice,2013,35,2.9,1.8,0.6,0.297,0.294,0.714,9.9,0.8,2.2,0.8,0.4,0.2,0.143,0.667,8.6,0.4,,,,,,,,
Glenn Robinson III,2014,40,1.2,0.6,0.1,0.333,0.167,0.75,4.3,0.1,3.8,1.5,0.6,0.43,0.378,0.692,11.3,0.4,4.2,1.5,0.4,0.42,0.29,0.8,13.0,0.4
Goga Bitadze,2019,18,3.2,2.0,0.4,0.467,0.19,0.727,8.7,0.5,5.1,3.3,0.8,0.428,0.253,0.738,12.5,0.4,5.0,4.6,1.3,0.603,0.143,0.655,15.4,0.7
Gorgui Dieng,2013,21,4.8,5.0,0.7,0.498,1.0,0.634,13.6,0.9,9.7,8.3,2.0,0.506,0.167,0.783,30.0,1.7,5.9,4.6,0.9,0.479,0.311,0.775,16.9,0.7
Grant Williams,2019,22,3.4,2.6,1.0,0.412,0.25,0.722,15.1,0.7,4.7,2.8,1.0,0.437,0.372,0.588,18.1,0.9,8.1,3.6,1.7,0.413,0.376,0.745,26.4,1.1
Grayson Allen,2018,21,5.6,0.6,0.7,0.376,0.323,0.75,10.9,0.9,8.7,2.2,1.4,0.466,0.404,0.867,18.9,0.9,10.4,3.3,2.3,0.44,0.399,0.905,27.4,1.0
Greg Brown III,2021,43,4.7,2.8,0.7,0.426,0.311,0.677,13.3,0.8,1.8,1.2,0.2,0.393,0.143,0.417,5.8,0.4,,,,,,,,
Hamidou Diallo,2018,45,3.7,1.9,0.3,0.455,0.167,0.61,10.3,0.5,6.9,3.6,0.8,0.446,0.281,0.603,19.5,1.1,9.3,3.5,1.0,0.573,0.238,0.588,17.8,1.3
Henry Ellenson,2016,18,3.2,2.2,0.4,0.359,0.286,0.5,7.7,0.7,4.0,2.1,0.5,0.363,0.333,0.862,8.7,0.5,7.5,6.0,2.5,0.357,0.222,0.75,19.0,0.0
Herbert Jones,2021,35,9.5,3.8,2.1,0.476,0.337,0.84,29.9,1.3,9.8,4.1,2.5,0.469,0.335,0.764,29.6,1.3,8.9,3.6,2.6,0.392,0.306,0.775,28.8,1.3
Ignas Brazdeikis,2019,47,1.9,0.6,0.4,0.273,0.111,0.8,5.9,0.2,0.5,0.5,0.3,0.0,0.0,1.0,1.8,0.3,,,,,,,,
Ike Anigbogu,2017,47,1.2,0.8,0.0,0.444,0.0,0.833,2.7,0.2,0.0,1.0,0.3,0.0,0.0,0.0,2.0,0.3,,,,,,,,
Immanuel Quickley,2020,25,11.4,2.1,2.0,0.395,0.389,0.891,19.4,0.9,11.3,3.2,3.5,0.392,0.346,0.881,23.1,1.3,17.1,3.5,5.8,0.42,0.378,0.867,27.8,1.8
Isaac Bonga,2018,39,0.9,1.1,0.7,0.152,0.0,0.6,5.5,0.3,5.0,3.4,1.2,0.504,0.352,0.812,18.9,0.9,,,,,,,,
Isaac Okoro,2020,5,9.6,3.1,1.9,0.42,0.29,0.726,32.4,1.3,8.8,3.0,1.8,0.48,0.35,0.768,29.6,0.9,6.1,2.4,1.2,0.464,0.371,0.717,19.1,0.4
Isaiah Canaan,2013,34,4.6,1.1,1.0,0.356,0.327,0.724,11.5,1.0,6.2,1.3,1.2,0.405,0.381,0.762,14.8,0.9,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
Isaiah Hartenstein,2017,43,,,,,,,,,1.9,1.7,0.5,0.488,0.333,0.786,7.9,0.5,8.3,4.9,2.4,0.626,0.467,0.689,17.9,1.2
Isaiah Jackson,2021,22,8.3,4.1,0.3,0.563,0.313,0.682,15.0,1.1,7.2,4.5,0.8,0.563,0.143,0.651,16.5,0.8,6.4,5.6,0.8,0.582,0.0,0.689,16.8,1.1
Isaiah Joe,2020,49,3.7,0.9,0.5,0.361,0.368,0.75,9.3,0.3,3.6,1.0,0.6,0.35,0.333,0.935,11.1,0.3,10.2,2.6,1.6,0.44,0.412,0.821,21.7,0.5
Isaiah Livers,2021,42,6.4,3.0,1.1,0.456,0.422,0.857,20.2,0.8,6.7,2.8,0.8,0.417,0.365,0.821,23.1,0.6,2.2,1.9,0.7,0.423,0.343,0.7,10.1,0.4
Isaiah Mobley,2022,49,2.6,1.7,0.3,0.429,0.375,1.0,7.0,0.1,2.3,1.0,0.6,0.417,0.3,0.0,7.2,0.2,,,,,,,,
Isaiah Roby,2019,45,0.0,0.7,0.0,0.0,0.0,0.0,3.7,0.3,8.7,5.6,1.8,0.483,0.294,0.744,23.4,1.9,,,,,,,,
Isaiah Stewart,2020,16,7.9,6.7,0.9,0.553,0.333,0.696,21.4,1.0,8.3,8.7,1.2,0.51,0.326,0.718,25.6,1.2,6.0,5.5,1.7,0.559,0.321,0.759,19.9,0.9
Isaiah Whitehead,2016,42,7.4,2.5,2.6,0.402,0.295,0.805,22.5,1.9,6.3,1.6,1.3,0.465,0.389,0.684,11.3,1.5,,,,,,,,
Ivan Rabb,2017,35,5.6,4.4,0.9,0.566,0.0,0.806,14.3,1.0,5.8,4.2,1.1,0.547,0.2,0.71,14.7,0.7,,,,,,,,
Ivica Zubac,2016,32,7.5,4.2,0.8,0.529,0.0,0.653,16.0,0.8,3.7,2.9,0.6,0.5,0.0,0.765,9.5,0.6,9.0,7.2,1.3,0.652,0.25,0.789,22.3,1.1
JD Davison,2022,53,1.6,0.8,0.9,0.421,0.286,0.5,5.5,0.3,2.0,1.3,1.3,0.417,0.429,0.75,4.9,0.3,,,,,,,,
JT Thor,2021,37,2.0,1.3,0.6,0.436,0.259,0.6,7.9,0.3,3.8,2.2,0.5,0.399,0.317,0.702,14.0,0.6,,,,,,,,
Ja Morant,2019,2,17.8,3.9,7.3,0.477,0.335,0.776,31.0,3.3,19.1,4.0,7.4,0.449,0.303,0.728,32.6,3.2,25.1,5.6,8.1,0.471,0.275,0.813,35.3,3.0
Jabari Parker,2014,2,12.3,5.5,1.7,0.49,0.25,0.697,29.5,1.9,14.1,5.2,1.7,0.493,0.257,0.768,31.7,1.5,14.3,6.2,2.2,0.474,0.325,0.731,26.7,2.2
Jabari Smith Jr.,2022,3,12.8,7.2,1.3,0.408,0.307,0.786,31.0,1.3,13.7,8.1,1.6,0.454,0.363,0.811,31.9,1.2,,,,,,,,
Jabari Walker,2022,57,3.9,2.3,0.6,0.419,0.286,0.756,11.1,0.5,8.9,7.1,1.0,0.46,0.295,0.754,23.6,0.9,,,,,,,,
Jacob Evans,2018,28,1.3,0.8,0.8,0.34,0.267,0.0,6.8,0.4,4.7,1.5,1.1,0.338,0.342,0.862,15.3,0.9,,,,,,,,
Jaden Hardy,2022,37,8.8,1.9,1.4,0.438,0.404,0.823,14.8,1.0,7.3,1.8,1.5,0.407,0.362,0.776,13.5,0.8,,,,,,,,
Jaden Ivey,2022,5,16.3,3.9,5.2,0.416,0.343,0.747,31.1,3.2,15.4,3.4,3.8,0.429,0.336,0.749,28.8,2.5,,,,,,,,
Jaden McDaniels,2020,28,6.8,3.7,1.1,0.447,0.364,0.6,24.0,0.7,9.2,4.2,1.1,0.46,0.317,0.803,25.8,1.1,12.2,5.7,2.0,0.477,0.33,0.813,31.9,1.2
Jaden Springer,2021,28,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.5,2.6,0.9,0.5,0.486,0.4,0.75,5.6,0.2,,,,,,,,
Jahlil Okafor,2015,3,17.5,7.0,1.2,0.508,0.167,0.686,30.0,2.3,11.8,4.8,1.2,0.514,0.0,0.671,22.7,1.8,8.1,4.2,1.2,0.623,0.333,0.645,15.6,1.3
Jahmi'us Ramsey,2020,43,3.1,0.8,0.5,0.395,0.263,1.0,7.2,0.2,3.2,0.7,0.4,0.414,0.278,0.5,7.1,0.3,,,,,,,,
Jake LaRavia,2022,19,3.0,1.8,0.6,0.389,0.338,0.778,11.8,0.5,10.8,3.7,1.7,0.389,0.34,0.826,23.0,1.3,,,,,,,,
Jake Layman,2016,47,2.2,0.7,0.3,0.292,0.255,0.765,7.1,0.3,1.0,0.5,0.3,0.298,0.2,0.667,4.6,0.1,5.1,1.5,0.6,0.495,0.295,0.703,13.9,0.6
Jakob Poeltl,2016,9,3.1,3.1,0.2,0.583,0.0,0.544,11.6,0.5,6.9,4.8,0.7,0.659,0.5,0.594,18.6,1.0,8.6,7.9,1.9,0.616,0.0,0.508,26.7,1.2
Jalen Brunson,2018,33,9.3,2.3,3.2,0.467,0.348,0.725,21.8,1.2,8.2,2.4,3.3,0.466,0.358,0.813,17.9,1.2,24.0,3.5,6.2,0.491,0.416,0.829,35.0,2.1
Jalen Duren,2022,13,9.1,8.9,1.1,0.648,0.0,0.611,24.9,1.4,13.8,11.6,2.4,0.619,0.0,0.79,29.1,2.1,,,,,,,,
Jalen Green,2021,2,17.3,3.4,2.6,0.426,0.343,0.797,31.9,2.0,22.1,3.7,3.7,0.416,0.338,0.786,34.2,2.6,11.1,2.1,2.3,0.409,0.351,0.846,15.3,1.4
Jalen Johnson,2021,20,2.4,1.2,0.1,0.537,0.231,0.714,5.5,0.4,5.6,4.0,1.2,0.491,0.288,0.628,14.9,0.6,23.3,10.6,8.2,0.502,0.353,0.778,35.7,3.4
Jalen McDaniels,2019,52,5.6,4.1,0.8,0.471,0.375,0.824,18.3,0.7,7.4,3.6,1.1,0.468,0.333,0.703,19.2,1.0,3.4,1.6,0.7,0.344,0.169,0.73,10.8,0.6
Jalen Smith,2020,10,2.0,1.4,0.1,0.44,0.235,0.714,5.8,0.3,6.0,4.8,0.2,0.46,0.231,0.769,13.2,0.8,8.2,5.6,1.0,0.466,0.324,0.809,15.0,0.6
Jalen Suggs,2021,5,11.8,3.6,4.4,0.361,0.214,0.773,27.2,3.0,9.9,3.0,2.9,0.419,0.327,0.723,23.5,1.8,14.1,4.0,5.5,0.443,0.325,0.847,26.7,2.5
Jalen Williams,2022,12,14.1,4.5,3.3,0.521,0.356,0.812,30.3,1.6,19.1,4.0,4.5,0.54,0.427,0.814,31.3,1.7,,,,,,,,
Jamaal Franklin,2013,41,1.9,1.1,0.3,0.41,0.455,1.0,7.7,0.5,1.0,0.7,1.0,0.5,0.5,0.0,4.3,1.0,,,,,,,,
Jamal Murray,2016,7,9.9,2.6,2.1,0.404,0.334,0.883,21.5,1.4,16.7,3.7,3.4,0.451,0.378,0.905,31.7,2.1,21.2,4.0,4.8,0.477,0.408,0.869,35.5,2.3
James Bouknight,2021,11,4.6,1.7,0.8,0.348,0.347,0.871,9.8,0.5,5.6,2.1,1.2,0.358,0.303,0.667,15.1,0.9,,,,,,,,
James Ennis III,2013,50,,,,,,,,,5.0,2.8,0.8,0.409,0.326,0.84,17.0,0.6,6.9,3.5,1.1,0.486,0.357,0.877,23.4,0.8
James Wiseman,2020,2,11.5,5.8,0.7,0.519,0.316,0.628,21.4,1.5,,,,,,,,,6.0,1.0,0.0,0.5,0.0,1.0,5.0,0.0
James Young,2014,17,3.4,1.4,0.4,0.353,0.258,0.552,10.7,0.2,1.0,0.9,0.3,0.306,0.231,0.25,6.9,0.2,,,,,,,,
Jared Butler,2021,40,3.8,1.1,1.5,0.404,0.318,0.688,8.6,0.8,6.2,0.7,1.3,0.469,0.5,0.0,12.8,0.8,,,,,,,,
Jarell Martin,2015,25,5.7,3.2,0.6,0.466,0.0,0.726,14.1,0.7,3.9,3.9,0.2,0.384,0.36,0.8,13.3,0.7,,,,,,,,
Jaren Jackson Jr.,2018,4,13.8,4.7,1.1,0.506,0.359,0.766,26.1,1.7,17.4,4.6,1.4,0.469,0.394,0.747,28.5,1.7,18.6,6.8,1.0,0.506,0.355,0.788,28.4,1.7
Jarnell Stokes,2014,35,3.0,1.8,0.2,0.568,0.0,0.536,6.6,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,
Jarred Vanderbilt,2018,41,1.4,1.4,0.2,0.474,0.0,0.6,4.1,0.5,1.1,0.9,0.2,0.714,0.0,0.0,4.6,0.8,8.3,7.9,2.7,0.556,0.333,0.657,24.1,1.3
Jarrett Allen,2017,22,8.2,5.4,0.7,0.589,0.333,0.776,20.0,1.1,10.9,8.4,1.4,0.59,0.133,0.709,26.2,1.3,16.1,10.8,1.6,0.677,0.1,0.708,32.3,1.7
Jarrett Culver,2019,6,9.2,3.4,1.7,0.404,0.299,0.462,23.9,1.3,5.3,3.1,0.7,0.411,0.245,0.604,14.7,0.8,,,,,,,,
Jawun Evans,2017,39,4.8,1.8,2.1,0.352,0.278,0.776,16.2,0.9,0.9,1.7,1.4,0.231,0.0,0.0,9.1,0.9,,,,,,,,
Jaxson Hayes,2019,8,7.4,4.0,0.9,0.672,0.25,0.647,16.9,0.8,7.5,4.3,0.6,0.625,0.429,0.775,16.1,0.7,4.3,3.0,0.5,0.72,0.0,0.622,12.5,0.6
Jay Scrubb,2020,55,8.8,3.5,0.3,0.389,0.222,1.0,21.0,1.8,2.7,0.9,0.4,0.391,0.286,0.7,6.7,0.4,,,,,,,,
Jaylen Brown,2016,3,6.6,2.8,0.8,0.455,0.343,0.685,17.2,0.9,14.5,4.9,1.6,0.465,0.395,0.644,30.7,1.8,24.7,6.0,3.4,0.484,0.397,0.764,34.5,2.7
Jaylen Nowell,2019,43,3.8,0.9,1.3,0.358,0.115,0.941,10.1,0.2,9.0,2.3,1.5,0.424,0.333,0.818,18.1,0.7,5.7,1.6,1.8,0.4,0.174,1.0,17.3,0.6
Jaylin Williams,2022,34,5.9,4.9,1.6,0.436,0.407,0.704,18.7,0.8,4.0,3.4,1.6,0.417,0.368,0.805,13.0,0.5,,,,,,,,
Jayson Tatum,2017,3,13.9,5.0,1.6,0.475,0.434,0.826,30.5,1.4,15.7,6.0,2.1,0.45,0.373,0.855,31.1,1.5,26.9,8.0,4.4,0.453,0.353,0.853,35.9,2.9
Jeff Withey,2013,39,3.3,2.6,0.4,0.535,0.0,0.712,11.8,0.3,2.6,1.7,0.3,0.5,0.0,0.68,7.0,0.3,1.5,1.0,0.0,0.375,0.2,0.5,3.9,0.2
Jerami Grant,2014,39,6.3,3.0,1.2,0.352,0.314,0.591,21.2,1.3,9.7,4.7,1.8,0.419,0.24,0.658,26.8,1.4,13.6,5.2,1.0,0.497,0.392,0.71,32.7,0.8
Jeremiah Robinson-Earl,2021,32,7.5,5.6,1.0,0.414,0.352,0.741,22.2,0.8,6.8,4.2,1.0,0.444,0.333,0.833,18.9,0.4,4.6,5.2,0.7,0.349,0.242,0.929,17.6,0.6
Jeremy Lamb,2012,12,3.1,0.8,0.2,0.353,0.3,1.0,6.4,0.3,8.5,2.4,1.5,0.432,0.356,0.797,19.7,0.8,9.7,4.3,1.2,0.46,0.281,0.853,18.4,0.6
Jeremy Sochan,2022,9,11.0,5.3,2.5,0.453,0.246,0.698,26.0,1.7,11.6,6.4,3.4,0.438,0.308,0.771,29.6,1.9,,,,,,,,
Jerian Grant,2015,19,5.6,1.9,2.3,0.394,0.22,0.78,16.6,1.1,5.9,1.8,1.9,0.425,0.366,0.89,16.3,0.7,4.5,1.0,1.5,0.37,0.25,0.714,13.3,0.5
Jericho Sims,2021,58,2.2,4.1,0.5,0.722,0.0,0.414,13.5,0.5,3.4,4.7,0.5,0.776,0.0,0.75,15.6,0.5,3.7,4.3,0.8,0.821,0.0,0.652,15.7,0.9
Jerome Robinson,2018,13,3.4,1.2,0.6,0.4,0.316,0.667,9.7,0.4,2.9,1.4,1.1,0.338,0.284,0.579,11.3,0.6,,,,,,,,
Jevon Carter,2018,32,4.4,1.7,1.8,0.303,0.333,0.813,14.8,0.8,4.9,2.0,1.4,0.416,0.425,0.852,16.3,0.6,8.0,2.5,2.4,0.423,0.421,0.816,22.4,1.0
Joe Harris,2014,33,2.7,0.8,0.5,0.4,0.369,0.6,9.7,0.5,0.6,0.6,0.4,0.25,0.25,0.0,3.0,0.2,13.7,3.8,2.4,0.5,0.474,0.827,30.2,1.6
Joe Wieskamp,2021,41,2.1,0.5,0.3,0.357,0.326,0.538,7.1,0.1,1.0,0.4,0.3,0.214,0.25,0.0,5.6,0.1,,,,,,,,
Joe Young,2015,43,3.8,1.2,1.6,0.367,0.217,0.8,9.4,0.8,2.1,0.5,0.5,0.361,0.217,0.733,4.1,0.2,,,,,,,,
Joel Bolomboy,2016,52,1.8,1.4,0.2,0.563,0.25,0.5,4.4,0.2,1.5,1.7,0.0,0.5,0.0,0.5,6.3,0.3,,,,,,,,
Joffrey Lauvergne,2013,55,,,,,,,,,3.9,3.2,0.5,0.404,0.188,0.643,11.2,0.9,4.1,3.1,0.7,0.516,0.0,0.638,9.7,0.6
John Collins,2017,19,10.5,7.3,1.3,0.576,0.34,0.715,24.1,1.4,19.5,9.8,2.0,0.56,0.348,0.763,30.0,2.0,16.2,7.8,1.8,0.526,0.364,0.793,30.8,1.1
John Henson,2012,14,6.0,4.7,0.5,0.482,0.0,0.533,13.1,0.7,11.1,7.1,1.6,0.538,0.0,0.514,26.5,1.6,6.8,5.1,1.0,0.515,0.0,0.692,19.4,0.9
Johnny Davis,2022,10,5.8,2.3,1.0,0.386,0.243,0.519,15.1,0.6,3.0,1.4,0.6,0.403,0.35,0.583,12.3,0.3,,,,,,,,
Johnny O'Bryant III,2014,36,2.9,1.9,0.5,0.367,0.0,0.444,10.8,0.7,3.0,2.7,0.5,0.411,1.0,0.675,13.0,0.5,,,,,,,,
Jonathan Isaac,2017,6,5.4,3.7,0.7,0.379,0.348,0.76,19.8,1.0,9.6,5.5,1.1,0.429,0.323,0.815,26.6,1.0,,,,,,,,
Jonathan Kuminga,2021,7,9.3,3.3,0.9,0.513,0.336,0.684,16.9,1.1,9.9,3.4,1.9,0.525,0.37,0.652,20.8,1.4,12.1,5.9,2.5,0.454,0.321,0.742,23.8,2.3
Jordan Adams,2014,22,3.1,0.9,0.5,0.407,0.4,0.609,8.3,0.5,3.5,1.0,1.5,0.333,0.0,0.6,7.5,1.0,,,,,,,,
Jordan Bell,2017,38,4.6,3.6,1.8,0.627,0.0,0.682,14.2,0.9,3.3,2.7,1.1,0.516,0.0,0.61,11.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
